epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
135,2903.71,1.16453,0.48228,0.78979,0.96585,0.95072,0.9916,0.69324,0.89417,0.39672,0.80817,0.0011156,0.0011156,0.0011156
136,2925.16,1.21677,0.47756,0.80195,1,0.97181,0.99483,0.70128,0.94531,0.40323,0.80918,0.001109,0.001109,0.001109
137,2946.42,1.18754,0.49484,0.79902,1,0.98795,0.995,0.70283,0.95162,0.42052,0.81036,0.0011024,0.0011024,0.0011024
138,2967.73,1.2418,0.51425,0.79487,0.99136,0.964,0.98916,0.7187,0.8514,0.47992,0.8059,0.0010958,0.0010958,0.0010958
139,2989.2,1.16581,0.48514,0.79836,0.99639,0.96639,0.99394,0.70115,0.89065,0.54461,0.80648,0.0010892,0.0010892,0.0010892
140,3010.52,1.18965,0.45088,0.79886,0.98636,0.97479,0.99367,0.69526,0.91567,0.44102,0.80939,0.0010826,0.0010826,0.0010826
141,3031.86,1.20406,0.48586,0.79375,0.99143,0.97184,0.99442,0.71754,0.90363,0.47029,0.80948,0.001076,0.001076,0.001076
142,3053.31,1.23464,0.4886,0.80973,0.98851,0.96639,0.99377,0.71106,0.86474,0.46778,0.8047,0.0010694,0.0010694,0.0010694
143,3074.55,1.16689,0.4712,0.80661,0.98692,0.96639,0.99387,0.70292,0.89733,0.41525,0.80947,0.0010628,0.0010628,0.0010628
144,3095.87,1.16211,0.49561,0.79231,0.99699,0.96639,0.9931,0.69922,0.90722,0.47161,0.80842,0.0010562,0.0010562,0.0010562
145,3117.24,1.1887,0.49261,0.80599,0.99388,0.97479,0.99419,0.69402,0.91338,0.43216,0.80461,0.0010496,0.0010496,0.0010496
146,3138.52,1.20034,0.46905,0.79651,0.99465,0.96639,0.99418,0.70951,0.91888,0.43919,0.80806,0.001043,0.001043,0.001043
147,3159.93,1.25632,0.50334,0.80121,0.98288,0.96467,0.99392,0.71023,0.85781,0.47082,0.80743,0.0010364,0.0010364,0.0010364
148,3181.32,1.21027,0.50363,0.80387,1,0.97177,0.99411,0.70664,0.92961,0.42184,0.80726,0.0010298,0.0010298,0.0010298
149,3202.58,1.20746,0.49825,0.7932,0.9904,0.96639,0.99344,0.70033,0.93165,0.48078,0.80673,0.0010232,0.0010232,0.0010232
150,3224.02,1.15482,0.48983,0.79416,0.97463,0.96836,0.99334,0.72492,0.85494,0.44053,0.80464,0.0010166,0.0010166,0.0010166
151,3245.25,1.15402,0.46135,0.79155,0.98307,0.96639,0.99394,0.69868,0.90624,0.44365,0.80778,0.00101,0.00101,0.00101
152,3266.81,1.20582,0.48194,0.79653,0.99126,0.95315,0.99217,0.69831,0.87691,0.45009,0.80808,0.0010034,0.0010034,0.0010034
153,3288.13,1.2043,0.46929,0.80019,0.99136,0.96394,0.99417,0.70627,0.87102,0.39417,0.80485,0.0009968,0.0009968,0.0009968
154,3309.48,1.10926,0.45599,0.78618,0.99144,0.97342,0.99458,0.70084,0.97706,0.45453,0.80984,0.0009902,0.0009902,0.0009902
155,3330.75,1.17468,0.48009,0.79607,1,0.97478,0.99475,0.69435,0.91509,0.44409,0.80506,0.0009836,0.0009836,0.0009836
156,3352.25,1.16829,0.46357,0.80002,0.9881,0.97479,0.99368,0.72095,0.87738,0.39964,0.80639,0.000977,0.000977,0.000977
157,3373.54,1.13223,0.49066,0.78666,1,0.98161,0.995,0.70156,0.89954,0.41958,0.81296,0.0009704,0.0009704,0.0009704
158,3394.94,1.17406,0.48651,0.79086,0.98541,0.98319,0.99441,0.68849,0.85864,0.408,0.80617,0.0009638,0.0009638,0.0009638
159,3416.28,1.19124,0.47911,0.78888,0.99765,0.97479,0.99458,0.69207,0.85237,0.40468,0.80097,0.0009572,0.0009572,0.0009572
160,3437.85,1.13124,0.45483,0.79231,0.99426,0.97479,0.9945,0.72345,0.89135,0.39734,0.80542,0.0009506,0.0009506,0.0009506
161,3459.22,1.20791,0.48257,0.80275,0.98352,0.97479,0.9945,0.71627,0.84185,0.43274,0.8059,0.000944,0.000944,0.000944
162,3480.56,1.19528,0.49318,0.80518,1,0.97318,0.995,0.70874,0.93142,0.47656,0.81103,0.0009374,0.0009374,0.0009374
163,3501.99,1.23565,0.48014,0.79232,0.99156,0.98744,0.99424,0.7222,0.89387,0.41786,0.80953,0.0009308,0.0009308,0.0009308
164,3523.49,1.20816,0.48537,0.79661,0.99343,0.97479,0.99428,0.70994,0.87877,0.41751,0.80968,0.0009242,0.0009242,0.0009242
165,3544.81,1.21641,0.4765,0.79102,0.98583,0.98319,0.99449,0.70652,0.90596,0.41077,0.80745,0.0009176,0.0009176,0.0009176
166,3566.1,1.14506,0.46029,0.80355,0.98795,0.97479,0.99318,0.71368,0.86018,0.4849,0.80526,0.000911,0.000911,0.000911
167,3587.55,1.17373,0.4796,0.79472,0.98863,0.97479,0.99333,0.70466,0.87158,0.45639,0.80773,0.0009044,0.0009044,0.0009044
168,3608.98,1.13947,0.45171,0.78565,0.99612,0.98319,0.99444,0.70215,0.81922,0.42494,0.80827,0.0008978,0.0008978,0.0008978
169,3630.43,1.18069,0.48433,0.80716,0.9915,0.97479,0.99475,0.69653,0.89886,0.56199,0.81084,0.0008912,0.0008912,0.0008912
170,3651.8,1.18487,0.47385,0.79958,0.99631,0.98319,0.99444,0.71707,0.86224,0.43791,0.81238,0.0008846,0.0008846,0.0008846
171,3673.19,1.1684,0.46227,0.79719,0.98289,0.96543,0.99237,0.73193,0.87249,0.45452,0.80823,0.000878,0.000878,0.000878
172,3694.65,1.17322,0.46565,0.79633,0.99983,0.98319,0.9946,0.7104,0.85386,0.42896,0.80636,0.0008714,0.0008714,0.0008714
173,3716,1.17535,0.48031,0.79642,0.99707,0.98319,0.99475,0.71462,0.85597,0.42967,0.8096,0.0008648,0.0008648,0.0008648
174,3737.41,1.17476,0.47329,0.80036,0.98969,0.97479,0.99458,0.70953,0.95343,0.49971,0.81161,0.0008582,0.0008582,0.0008582
175,3758.84,1.1239,0.46078,0.79011,1,0.97514,0.995,0.73758,0.82636,0.39546,0.80568,0.0008516,0.0008516,0.0008516
176,3780.35,1.14842,0.49913,0.77408,1,0.97925,0.99444,0.71316,0.94595,0.46779,0.80651,0.000845,0.000845,0.000845
177,3801.76,1.17596,0.46402,0.80807,0.98656,0.97479,0.99402,0.72932,0.86567,0.5122,0.80551,0.0008384,0.0008384,0.0008384
178,3823.1,1.13992,0.45549,0.78909,0.98252,0.98319,0.99384,0.71359,0.90469,0.47527,0.80953,0.0008318,0.0008318,0.0008318
179,3844.37,1.19525,0.46657,0.78394,1,0.96216,0.9938,0.72949,0.87004,0.61951,0.80472,0.0008252,0.0008252,0.0008252
180,3865.84,1.17006,0.5098,0.80434,1,0.97479,0.99403,0.72047,0.90376,0.58232,0.8043,0.0008186,0.0008186,0.0008186
